;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
EU (28 countries);3,76;4,08;4,56;4,55;4,11;3,82;4,27;3,65;2,95;2,2;1,44;1,11
EU (27 countries);3,75;4,07;4,56;4,54;4,09;3,8;4,26;3,64;2,95;2,2;1,44;1,11
Euro area (changing composition);3,42;3,84;4,32;4,31;3,82;3,6;4,34;3,86;2,99;2,04;1,22;0,86
Belgium;3,43;3,81;4,33;4,42;3,9;3,46;4,23;3;2,41;1,71;0,84;0,48
Bulgaria;3,87;4,18;4,54;5,38;7,22;6,01;5,36;4,5;3,47;3,35;2,49;2,27
Czech Republic;3,54;3,8;4,3;4,63;4,84;3,88;3,71;2,78;2,11;1,58;0,58;0,43
Denmark;3,4;3,81;4,29;4,28;3,59;2,93;2,73;1,4;1,75;1,32;0,69;0,32
Germany;3,35;3,76;4,22;3,98;3,22;2,74;2,61;1,5;1,57;1,16;0,5;0,09
Ireland;3,33;3,77;4,31;4,53;5,23;5,74;9,6;6,17;3,79;2,37;1,18;0,74
Greece;3,59;4,07;4,5;4,8;5,17;9,09;15,75;22,5;10,05;6,93;9,67;8,36
Spain;3,39;3,78;4,31;4,37;3,98;4,25;5,44;5,85;4,56;2,72;1,73;1,39
France;3,41;3,8;4,3;4,23;3,65;3,12;3,32;2,54;2,2;1,67;0,84;0,47
Croatia;4,42;4,43;4,93;6,04;7,83;6,28;6,54;6,13;4,68;4,05;3,55;3,49
Italy;3,56;4,05;4,49;4,68;4,31;4,04;5,42;5,49;4,32;2,89;1,71;1,49
Cyprus;5,16;4,13;4,48;4,6;4,6;4,6;5,79;7;6,5;6;4,54;3,77
Latvia;3,88;4,13;5,28;6,43;12,36;10,34;5,91;4,57;3,34;2,51;0,96;0,53
Lithuania;3,7;4,08;4,54;5,61;14;5,57;5,16;4,83;3,83;2,79;1,38;0,9
Luxembourg;2,41;3,3;4,46;4,61;4,23;3,17;2,92;1,82;1,85;1,34;0,37;0,25
Hungary;6,6;7,12;6,74;8,24;9,12;7,28;7,63;7,89;5,92;4,81;3,43;3,14
Malta;4,56;4,32;4,72;4,81;4,54;4,19;4,49;4,13;3,36;2,61;1,49;0,89
Netherlands;3,37;3,78;4,29;4,23;3,69;2,99;2,99;1,93;1,96;1,45;0,69;0,29
Austria;3,39;3,8;4,3;4,36;3,94;3,23;3,32;2,37;2,01;1,49;0,75;0,38
Poland;5,22;5,23;5,48;6,07;6,12;5,78;5,96;5;4,03;3,52;2,7;3,04
Portugal;3,44;3,91;4,42;4,52;4,21;5,4;10,24;10,55;6,29;3,75;2,42;3,17
Romania;6,99;7,23;7,13;7,7;9,69;7,34;7,29;6,68;5,41;4,49;3,47;3,32
Slovenia;3,81;3,85;4,53;4,61;4,38;3,83;4,97;5,81;5,81;3,27;1,71;1,15
Slovakia;3,52;4,41;4,49;4,72;4,71;3,87;4,45;4,55;3,19;2,07;0,89;0,54
Finland;3,35;3,78;4,29;4,29;3,74;3,01;3,01;1,89;1,86;1,45;0,72;0,37
Sweden;3,38;3,7;4,17;3,89;3,25;2,89;2,61;1,59;2,12;1,72;0,72;0,54
United Kingdom;4,46;4,37;5,06;4,5;3,36;3,36;2,87;1,74;2,03;2,14;1,79;1,22
